Player,Position,Height (in),Weight (lbs),Date of Birth,League,GP,G,A,TP,Season,,First,Last,Name+1,Name+2,Input Array
Theo Wallberg,D,76,214,12/04/2003,NCAA,38,2,19,21,2023,,Theo,Wallberg,,,"[""Theo"",""Wallberg"",""D"",""NCAA"",None,76,214,20.78,38,2,21,0.55,2024]"
Kevin He,F,71,182,04/30/2006,OHL,64,31,22,53,2023,,Kevin,He,,,"[""Kevin"",""He"",""F"",""OHL"",None,71,182,18.38,64,31,53,0.83,2024]"
Jake Fisher,F,74,190,03/27/2005,USHL,51,23,24,47,2023,,Jake,Fisher,,,"[""Jake"",""Fisher"",""F"",""USHL"",None,74,190,19.47,51,23,47,0.92,2024]"
Chase Pietila,D,74,186,03/03/2004,NCAA,40,3,19,22,2023,,Chase,Pietila,,,"[""Chase"",""Pietila"",""D"",""NCAA"",None,74,186,20.53,40,3,22,0.55,2024]"
Jorian Donovan,D,73,200,04/05/2004,OHL,34,9,19,28,2023,,Jorian,Donovan,,,"[""Jorian"",""Donovan"",""D"",""OHL"",None,73,200,20.44,34,9,28,0.82,2024]"
Sam O'Reilly,F,73,178,03/30/2006,OHL,68,20,36,56,2023,,Sam,O'Reilly,,,"[""Sam"",""O'Reilly"",""F"",""OHL"",None,73,178,18.46,68,20,56,0.82,2024]"
Elias Pettersson,D,74,185,02/16/2004,HockeyAllsvenskan,34,3,11,14,2023,,Elias,Pettersson,,,"[""Elias"",""Pettersson"",""D"",""HockeyAllsvenskan"",None,74,185,20.58,34,3,14,0.41,2024]"
Jordan Gustafson,F,71,191,01/20/2004,WHL,32,12,16,28,2023,,Jordan,Gustafson,,,"[""Jordan"",""Gustafson"",""F"",""WHL"",None,71,191,20.65,32,12,28,0.88,2024]"
Adam Jecho,F,77,197,03/24/2006,WHL,54,23,24,47,2023,,Adam,Jecho,,,"[""Adam"",""Jecho"",""F"",""WHL"",None,77,197,18.48,54,23,47,0.87,2024]"
Vadim Moroz,F,74,185,11/20/2003,KHL,63,11,11,22,2023,,Vadim,Moroz,,,"[""Vadim"",""Moroz"",""F"",""KHL"",None,74,185,20.82,63,11,22,0.35,2024]"
Elias Salomonsson,D,72,172,08/31/2004,SHL,31,2,9,11,2023,,Elias,Salomonsson,,,"[""Elias"",""Salomonsson"",""D"",""SHL"",None,72,172,20.04,31,2,11,0.35,2024]"
Tyler Thorpe,F,77,210,08/11/2005,WHL,51,23,21,44,2023,,Tyler,Thorpe,,,"[""Tyler"",""Thorpe"",""F"",""WHL"",None,77,210,19.09,51,23,44,0.86,2024]"
Aaron Pionk,D,73,170,01/16/2003,NCAA,37,3,17,20,2023,,Aaron,Pionk,,,"[""Aaron"",""Pionk"",""D"",""NCAA"",None,73,170,21.66,37,3,20,0.54,2024]"
Cole Eiserman,F,72,195,08/29/2006,NTDP,57,58,31,89,2023,,Cole,Eiserman,,,"[""Cole"",""Eiserman"",""F"",""NTDP"",None,72,195,18.04,57,58,89,1.56,2024]"
Eduard Sale,F,74,174,03/10/2005,OHL,25,7,13,20,2023,,Eduard,Sale,,,"[""Eduard"",""Sale"",""F"",""OHL"",None,74,174,19.51,25,7,20,0.8,2024]"
Owen Allard,F,74,190,01/13/2004,OHL,55,18,26,44,2023,,Owen,Allard,,,"[""Owen"",""Allard"",""F"",""OHL"",None,74,190,20.67,55,18,44,0.8,2024]"
Calle Odelius,D,72,201,05/30/2004,HockeyAllsvenskan,10,0,4,4,2023,,Calle,Odelius,,,"[""Calle"",""Odelius"",""D"",""HockeyAllsvenskan"",None,72,201,20.29,10,0,4,0.4,2024]"
Noah Chadwick,D,76,207,05/10/2005,WHL,66,12,44,56,2023,,Noah,Chadwick,,,"[""Noah"",""Chadwick"",""D"",""WHL"",None,76,207,19.35,66,12,56,0.85,2024]"
Jayson Shaugabay,F,69,166,04/05/2005,USHL,62,15,40,55,2023,,Jayson,Shaugabay,,,"[""Jayson"",""Shaugabay"",""F"",""USHL"",None,69,166,19.44,62,15,55,0.89,2024]"
Cole Spicer,F,70,175,06/13/2004,NCAA,17,5,4,9,2023,,Cole,Spicer,,,"[""Cole"",""Spicer"",""F"",""NCAA"",None,70,175,20.26,17,5,9,0.53,2024]"
Sawyer Mynio,D,73,173,04/30/2005,WHL,63,16,37,53,2023,,Sawyer,Mynio,,,"[""Sawyer"",""Mynio"",""D"",""WHL"",None,73,173,19.38,63,16,53,0.84,2024]"
Luke Mittelstadt,D,71,178,01/22/2003,NCAA,38,2,18,20,2023,,Luke,Mittelstadt,,,"[""Luke"",""Mittelstadt"",""D"",""NCAA"",None,71,178,21.65,38,2,20,0.53,2024]"
Klavs Veinbergs,F,75,207,03/27/2003,NCAA,19,4,6,10,2023,,Klavs,Veinbergs,,,"[""Klavs"",""Veinbergs"",""F"",""NCAA"",None,75,207,21.47,19,4,10,0.53,2024]"
Caedan Bankier,F,74,192,01/26/2003,AHL,51,13,10,23,2023,,Caedan,Bankier,,,"[""Caedan"",""Bankier"",""F"",""AHL"",None,74,192,21.64,51,13,23,0.45,2024]"
Martin Misiak,F,74,194,09/30/2004,OHL,60,23,24,47,2023,,Martin,Misiak,,,"[""Martin"",""Misiak"",""F"",""OHL"",None,74,194,19.96,60,23,47,0.78,2024]"
Alexander Suzdalev,F,74,172,03/05/2004,WHL,30,9,16,25,2023,,Alexander,Suzdalev,,,"[""Alexander"",""Suzdalev"",""F"",""WHL"",None,74,172,20.53,30,9,25,0.83,2024]"
Chase Stillman,F,73,185,03/19/2003,AHL,54,14,10,24,2023,,Chase,Stillman,,,"[""Chase"",""Stillman"",""F"",""AHL"",None,73,185,21.49,54,14,24,0.44,2024]"
Matthew Maggio,F,71,191,11/25/2002,AHL,61,16,11,27,2023,,Matthew,Maggio,,,"[""Matthew"",""Maggio"",""F"",""AHL"",None,71,191,21.81,61,16,27,0.44,2024]"
Hudson Malinoski,F,72,175,05/19/2004,NCAA,35,9,9,18,2023,,Hudson,Malinoski,,,"[""Hudson"",""Malinoski"",""F"",""NCAA"",None,72,175,20.32,35,9,18,0.51,2024]"
Guillaume Richard,D,74,170,02/10/2003,NCAA,35,3,15,18,2023,,Guillaume,Richard,,,"[""Guillaume"",""Richard"",""D"",""NCAA"",None,74,170,21.6,35,3,18,0.51,2024]"
Nicholas Moldenhauer,F,70,170,05/25/2004,NCAA,41,8,13,21,2023,,Nicholas,Moldenhauer,,,"[""Nicholas"",""Moldenhauer"",""F"",""NCAA"",None,70,170,20.31,41,8,21,0.51,2024]"
Arttu Karki,D,74,176,12/08/2004,OHL,59,21,24,45,2023,,Arttu,Karki,,,"[""Arttu"",""Karki"",""D"",""OHL"",None,74,176,19.77,59,21,45,0.76,2024]"
Linus Eriksson,F,72,183,03/23/2006,HockeyAllsvenskan,29,3,8,11,2023,,Linus,Eriksson,,,"[""Linus"",""Eriksson"",""F"",""HockeyAllsvenskan"",None,72,183,18.48,29,3,11,0.38,2024]"
Joey Willis,F,72,179,03/14/2005,OHL,66,14,36,50,2023,,Joey,Willis,,,"[""Joey"",""Willis"",""F"",""OHL"",None,72,179,19.5,66,14,50,0.76,2024]"
Maxmilian Curran,F,75,179,08/27/2006,WHL,40,5,27,32,2023,,Maxmilian,Curran,,,"[""Maxmilian"",""Curran"",""F"",""WHL"",None,75,179,18.05,40,5,32,0.8,2024]"
Sam Harris,F,71,180,10/14/2003,NCAA,42,14,7,21,2023,,Sam,Harris,,,"[""Sam"",""Harris"",""F"",""NCAA"",None,71,180,20.92,42,14,21,0.5,2024]"
Jack Hughes,F,71,170,11/02/2003,NCAA,38,7,12,19,2023,,Jack,Hughes,,,"[""Jack"",""Hughes"",""F"",""NCAA"",None,71,170,20.87,38,7,19,0.5,2024]"
Garrett Brown,D,74,178,04/04/2004,NCAA,8,0,4,4,2023,,Garrett,Brown,,,"[""Garrett"",""Brown"",""D"",""NCAA"",None,74,178,20.45,8,0,4,0.5,2024]"
Jake Richard,F,73,171,08/15/2004,NCAA,36,7,11,18,2023,,Jake,Richard,,,"[""Jake"",""Richard"",""F"",""NCAA"",None,73,171,20.08,36,7,18,0.5,2024]"
Dominic James,F,69,148,07/03/2002,NCAA,2,0,1,1,2023,,Dominic,James,,,"[""Dominic"",""James"",""F"",""NCAA"",None,69,148,22.2,2,0,1,0.5,2024]"
Ilya Protas,F,77,198,07/18/2006,USHL,61,14,37,51,2023,,Ilya,Protas,,,"[""Ilya"",""Protas"",""F"",""USHL"",None,77,198,18.16,61,14,51,0.84,2024]"
Dyllan Gill,D,75,194,06/07/2004,QMJHL,12,1,8,9,2023,,Dyllan,Gill,,,"[""Dyllan"",""Gill"",""D"",""QMJHL"",None,75,194,20.27,12,1,9,0.75,2024]"
Jared Davidson,F,71,183,07/07/2002,AHL,38,11,5,16,2023,,Jared,Davidson,,,"[""Jared"",""Davidson"",""F"",""AHL"",None,71,183,22.19,38,11,16,0.42,2024]"
Owen Pickering,D,77,200,01/27/2004,WHL,59,7,39,46,2023,,Owen,Pickering,,,"[""Owen"",""Pickering"",""D"",""WHL"",None,77,200,20.63,59,7,46,0.78,2024]"
Brad Gardiner,F,74,183,03/06/2005,OHL,67,16,33,49,2023,,Brad,Gardiner,,,"[""Brad"",""Gardiner"",""F"",""OHL"",None,74,183,19.53,67,16,49,0.73,2024]"
Justin Kipkie,D,75,195,07/28/2005,WHL,67,16,36,52,2023,,Justin,Kipkie,,,"[""Justin"",""Kipkie"",""D"",""WHL"",None,75,195,19.13,67,16,52,0.78,2024]"
Cole O'Hara,F,72,187,06/20/2002,NCAA,37,7,11,18,2023,,Cole,O'Hara,,,"[""Cole"",""O'Hara"",""F"",""NCAA"",None,72,187,22.24,37,7,18,0.49,2024]"
Joaquim Lemay,D,73,178,07/28/2002,NCAA,37,5,13,18,2023,,Joaquim,Lemay,,,"[""Joaquim"",""Lemay"",""D"",""NCAA"",None,73,178,22.13,37,5,18,0.49,2024]"
Samu Salminen,F,74,186,04/09/2003,NCAA,35,7,10,17,2023,,Samu,Salminen,,,"[""Samu"",""Salminen"",""F"",""NCAA"",None,74,186,21.43,35,7,17,0.49,2024]"
Yegor Rimashevskiy,F,74,197,02/01/2005,KHL,45,5,9,14,2023,,Yegor,Rimashevskiy,,,"[""Yegor"",""Rimashevskiy"",""F"",""KHL"",None,74,197,19.62,45,5,14,0.31,2024]"
Andrew Strathmann,D,71,187,02/27/2005,USHL,48,7,32,39,2023,,Andrew,Strathmann,,,"[""Andrew"",""Strathmann"",""D"",""USHL"",None,71,187,19.55,48,7,39,0.81,2024]"
Barrett Hall,F,73,167,12/29/2003,NCAA,33,8,8,16,2023,,Barrett,Hall,,,"[""Barrett"",""Hall"",""F"",""NCAA"",None,73,167,20.71,33,8,16,0.48,2024]"
Nate Misskey,D,75,205,01/12/2005,WHL,44,7,27,34,2023,,Nate,Misskey,,,"[""Nate"",""Misskey"",""D"",""WHL"",None,75,205,19.68,44,7,34,0.77,2024]"
Tristan Bertucci,D,74,185,07/12/2005,OHL,61,10,34,44,2023,,Tristan,Bertucci,,,"[""Tristan"",""Bertucci"",""D"",""OHL"",None,74,185,19.18,61,10,44,0.72,2024]"
Hunter St. Martin,F,73,174,06/13/2005,WHL,68,24,28,52,2023,,Hunter,St.,Martin,,"[""Hunter"",""St."",""F"",""WHL"",None,73,174,19.26,68,24,52,0.76,2024]"
Alexis Gendron,F,69,175,12/30/2003,AHL,17,5,2,7,2023,,Alexis,Gendron,,,"[""Alexis"",""Gendron"",""F"",""AHL"",None,69,175,20.71,17,5,7,0.41,2024]"
Stanislav Yarovoi,F,71,190,08/26/2003,KHL,36,4,7,11,2023,,Stanislav,Yarovoi,,,"[""Stanislav"",""Yarovoi"",""F"",""KHL"",None,71,190,21.05,36,4,11,0.31,2024]"
Vladislav Lukashevich,D,74,167,05/23/2003,USHL,54,11,32,43,2023,,Vladislav,Lukashevich,,,"[""Vladislav"",""Lukashevich"",""D"",""USHL"",None,74,167,21.31,54,11,43,0.8,2024]"
Dylan James,F,72,181,10/12/2003,NCAA,40,9,10,19,2023,,Dylan,James,,,"[""Dylan"",""James"",""F"",""NCAA"",None,72,181,20.93,40,9,19,0.48,2024]"
Lukas Dragicevic,D,73,190,04/25/2005,WHL,66,14,36,50,2023,,Lukas,Dragicevic,,,"[""Lukas"",""Dragicevic"",""D"",""WHL"",None,73,190,19.39,66,14,50,0.76,2024]"
Connor Levis,F,73,187,10/05/2004,WHL,37,10,18,28,2023,,Connor,Levis,,,"[""Connor"",""Levis"",""F"",""WHL"",None,73,187,19.94,37,10,28,0.76,2024]"
Aleksandr Kisakov,F,70,150,11/01/2002,AHL,32,5,8,13,2023,,Aleksandr,Kisakov,,,"[""Aleksandr"",""Kisakov"",""F"",""AHL"",None,70,150,21.87,32,5,13,0.41,2024]"
Zack Ostapchuk,F,76,212,05/29/2003,AHL,69,17,11,28,2023,,Zack,Ostapchuk,,,"[""Zack"",""Ostapchuk"",""F"",""AHL"",None,76,212,21.29,69,17,28,0.41,2024]"
Paul Fischer,D,73,195,01/30/2005,NCAA,34,2,14,16,2023,,Paul,Fischer,,,"[""Paul"",""Fischer"",""D"",""NCAA"",None,73,195,19.63,34,2,16,0.47,2024]"
Jakub Fibigr,D,72,171,07/22/2006,OHL,61,7,36,43,2023,,Jakub,Fibigr,,,"[""Jakub"",""Fibigr"",""D"",""OHL"",None,72,171,18.15,61,7,43,0.7,2024]"
Spencer Gill,D,76,185,08/17/2006,QMJHL,65,12,34,46,2023,,Spencer,Gill,,,"[""Spencer"",""Gill"",""D"",""QMJHL"",None,76,185,18.08,65,12,46,0.71,2024]"
Theo Lindstein,D,73,180,01/05/2005,SHL,49,4,11,15,2023,,Theo,Lindstein,,,"[""Theo"",""Lindstein"",""D"",""SHL"",None,73,180,19.69,49,4,15,0.31,2024]"
Christian Kyrou,D,71,173,09/16/2003,AHL,57,8,15,23,2023,,Christian,Kyrou,,,"[""Christian"",""Kyrou"",""D"",""AHL"",None,71,173,21,57,8,23,0.4,2024]"
Stanislav Svozil,D,72,192,01/17/2003,AHL,57,5,18,23,2023,,Stanislav,Svozil,,,"[""Stanislav"",""Svozil"",""D"",""AHL"",None,72,192,21.66,57,5,23,0.4,2024]"
Ben MacDonald,F,71,165,02/24/2004,NCAA,32,5,10,15,2023,,Ben,MacDonald,,,"[""Ben"",""MacDonald"",""F"",""NCAA"",None,71,165,20.56,32,5,15,0.47,2024]"
Michael Callow,F,76,181,01/15/2004,NCAA,32,3,12,15,2023,,Michael,Callow,,,"[""Michael"",""Callow"",""F"",""NCAA"",None,76,181,20.67,32,3,15,0.47,2024]"
Kirill Kudryavtsev,D,71,200,02/05/2004,OHL,67,5,42,47,2023,,Kirill,Kudryavtsev,,,"[""Kirill"",""Kudryavtsev"",""D"",""OHL"",None,71,200,20.61,67,5,47,0.7,2024]"
Carson Wetsch,F,74,190,05/04/2006,WHL,67,25,25,50,2023,,Carson,Wetsch,,,"[""Carson"",""Wetsch"",""F"",""WHL"",None,74,190,18.36,67,25,50,0.75,2024]"
Dans Locmelis,F,72,170,01/21/2004,NCAA,30,7,7,14,2023,,Dans,Locmelis,,,"[""Dans"",""Locmelis"",""F"",""NCAA"",None,72,170,20.65,30,7,14,0.47,2024]"
Ilya Safonov,F,76,205,05/30/2001,KHL,67,13,7,20,2023,,Ilya,Safonov,,,"[""Ilya"",""Safonov"",""F"",""KHL"",None,76,205,23.29,67,13,20,0.3,2024]"
Maksymilian Szuber,D,75,190,08/25/2002,AHL,70,7,21,28,2023,,Maksymilian,Szuber,,,"[""Maksymilian"",""Szuber"",""D"",""AHL"",None,75,190,22.06,70,7,28,0.4,2024]"
Jayden Perron,F,69,163,01/11/2005,NCAA,39,11,7,18,2023,,Jayden,Perron,,,"[""Jayden"",""Perron"",""F"",""NCAA"",None,69,163,19.68,39,11,18,0.46,2024]"
William Stromgren,F,75,175,06/07/2003,AHL,68,7,20,27,2023,,William,Stromgren,,,"[""William"",""Stromgren"",""F"",""AHL"",None,75,175,21.27,68,7,27,0.4,2024]"
Hiroki Gojsic,F,75,207,05/01/2006,WHL,68,21,29,50,2023,,Hiroki,Gojsic,,,"[""Hiroki"",""Gojsic"",""F"",""WHL"",None,75,207,18.37,68,21,50,0.74,2024]"
Noel Nordh,F,74,196,01/25/2005,SHL,50,6,9,15,2023,,Noel,Nordh,,,"[""Noel"",""Nordh"",""F"",""SHL"",None,74,196,19.64,50,6,15,0.3,2024]"
William Whitelaw,F,69,173,02/05/2005,NCAA,37,10,7,17,2023,,William,Whitelaw,,,"[""William"",""Whitelaw"",""F"",""NCAA"",None,69,173,19.61,37,10,17,0.46,2024]"
James Malatesta,F,69,193,05/31/2003,AHL,56,12,10,22,2023,,James,Malatesta,,,"[""James"",""Malatesta"",""F"",""AHL"",None,69,193,21.29,56,12,22,0.39,2024]"
Joona Vaisanen,D,72,175,07/29/2004,USHL,53,9,31,40,2023,,Joona,Vaisanen,,,"[""Joona"",""Vaisanen"",""D"",""USHL"",None,72,175,20.13,53,9,40,0.75,2024]"
Teddy Stiga,F,70,177,04/05/2006,NTDP,61,36,43,79,2023,,Teddy,Stiga,,,"[""Teddy"",""Stiga"",""F"",""NTDP"",None,70,177,18.44,61,36,79,1.3,2024]"
Quinn Finley,F,71,168,08/08/2004,NCAA,36,10,6,16,2023,,Quinn,Finley,,,"[""Quinn"",""Finley"",""F"",""NCAA"",None,71,168,20.1,36,10,16,0.44,2024]"
Kyle Kukkonen,F,70,172,11/13/2002,NCAA,27,1,11,12,2023,,Kyle,Kukkonen,,,"[""Kyle"",""Kukkonen"",""F"",""NCAA"",None,70,172,21.84,27,1,12,0.44,2024]"
Justin Janicke,F,71,185,06/30/2003,NCAA,36,4,12,16,2023,,Justin,Janicke,,,"[""Justin"",""Janicke"",""F"",""NCAA"",None,71,185,21.21,36,4,16,0.44,2024]"
Blake Montgomery,F,76,178,05/04/2005,USHL,58,22,21,43,2023,,Blake,Montgomery,,,"[""Blake"",""Montgomery"",""F"",""USHL"",None,76,178,19.36,58,22,43,0.74,2024]"
Michael Emerson,F,73,192,12/26/2003,USHL,27,9,11,20,2023,,Michael,Emerson,,,"[""Michael"",""Emerson"",""F"",""USHL"",None,73,192,20.72,27,9,20,0.74,2024]"
Roman Kantserov,F,69,176,09/20/2004,KHL,53,8,7,15,2023,,Roman,Kantserov,,,"[""Roman"",""Kantserov"",""F"",""KHL"",None,69,176,19.99,53,8,15,0.28,2024]"
Kieron Walton,F,78,211,04/22/2006,OHL,65,18,25,43,2023,,Kieron,Walton,,,"[""Kieron"",""Walton"",""F"",""OHL"",None,78,211,18.4,65,18,43,0.66,2024]"
Owen Beckner,F,74,193,02/27/2005,USHL,61,14,31,45,2023,,Owen,Beckner,,,"[""Owen"",""Beckner"",""F"",""USHL"",None,74,193,19.55,61,14,45,0.74,2024]"
Andrei Buyalsky,F,75,178,08/18/2000,NCAA,25,3,8,11,2023,,Andrei,Buyalsky,,,"[""Andrei"",""Buyalsky"",""F"",""NCAA"",None,75,178,24.08,25,3,11,0.44,2024]"
Martin Rysavy,F,74,225,03/06/2003,WHL,63,25,19,44,2023,,Martin,Rysavy,,,"[""Martin"",""Rysavy"",""F"",""WHL"",None,74,225,21.53,63,25,44,0.7,2024]"
Stiven Sardarian,F,73,156,02/07/2003,NCAA,32,7,7,14,2023,,Stiven,Sardarian,,,"[""Stiven"",""Sardarian"",""F"",""NCAA"",None,73,156,21.61,32,7,14,0.44,2024]"
Tomas Hamara,D,72,194,03/09/2004,OHL,26,1,16,17,2023,,Tomas,Hamara,,,"[""Tomas"",""Hamara"",""D"",""OHL"",None,72,194,20.52,26,1,17,0.65,2024]"
Ollie Josephson,F,72,185,07/22/2006,WHL,68,12,35,47,2023,,Ollie,Josephson,,,"[""Ollie"",""Josephson"",""F"",""WHL"",None,72,185,18.15,68,12,47,0.69,2024]"
Andrew Gibson,D,75,207,02/13/2005,OHL,68,12,32,44,2023,,Andrew,Gibson,,,"[""Andrew"",""Gibson"",""D"",""OHL"",None,75,207,19.59,68,12,44,0.65,2024]"
Amadeus Lombardi,F,70,165,06/05/2003,AHL,70,5,21,26,2023,,Amadeus,Lombardi,,,"[""Amadeus"",""Lombardi"",""F"",""AHL"",None,70,165,21.28,70,5,26,0.37,2024]"
Alexander Rykov,F,72,176,07/14/2005,KHL,29,6,2,8,2023,,Alexander,Rykov,,,"[""Alexander"",""Rykov"",""F"",""KHL"",None,72,176,19.17,29,6,8,0.28,2024]"
Beau Akey,D,72,173,02/11/2005,OHL,14,4,5,9,2023,,Beau,Akey,,,"[""Beau"",""Akey"",""D"",""OHL"",None,72,173,19.59,14,4,9,0.64,2024]"
Matthew Perkins,F,71,156,01/21/2004,NCAA,35,6,9,15,2023,,Matthew,Perkins,,,"[""Matthew"",""Perkins"",""F"",""NCAA"",None,71,156,20.65,35,6,15,0.43,2024]"
Mattias Havelid,D,69,165,01/01/2004,SHL,43,2,10,12,2023,,Mattias,Havelid,,,"[""Mattias"",""Havelid"",""D"",""SHL"",None,69,165,20.71,43,2,12,0.28,2024]"
Aleksanteri Kaskimaki,F,71,181,02/06/2004,Liiga,48,10,7,17,2023,,Aleksanteri,Kaskimaki,,,"[""Aleksanteri"",""Kaskimaki"",""F"",""Liiga"",None,71,181,20.61,48,10,17,0.35,2024]"
Hugo Gabrielson,D,73,172,10/24/2002,HockeyAllsvenskan,47,5,10,15,2023,,Hugo,Gabrielson,,,"[""Hugo"",""Gabrielson"",""D"",""HockeyAllsvenskan"",None,73,172,21.89,47,5,15,0.32,2024]"
Xavier Bourgault,F,70,179,10/22/2002,AHL,55,8,12,20,2023,,Xavier,Bourgault,,,"[""Xavier"",""Bourgault"",""F"",""AHL"",None,70,179,21.9,55,8,20,0.36,2024]"
Kalem Parker,D,72,192,10/12/2004,WHL,63,6,36,42,2023,,Kalem,Parker,,,"[""Kalem"",""Parker"",""D"",""WHL"",None,72,192,19.93,63,6,42,0.67,2024]"
Lucas Edmonds,F,71,178,01/27/2001,AHL,45,9,7,16,2023,,Lucas,Edmonds,,,"[""Lucas"",""Edmonds"",""F"",""AHL"",None,71,178,23.63,45,9,16,0.36,2024]"
Max Plante,F,71,170,02/20/2006,NTDP,51,15,46,61,2023,,Max,Plante,,,"[""Max"",""Plante"",""F"",""NTDP"",None,71,170,18.57,51,15,61,1.2,2024]"
Sam McCue,F,75,196,10/03/2005,OHL,34,12,9,21,2023,,Sam,McCue,,,"[""Sam"",""McCue"",""F"",""OHL"",None,75,196,18.95,34,12,21,0.62,2024]"
Tarin Smith,D,73,189,03/24/2006,WHL,67,8,36,44,2023,,Tarin,Smith,,,"[""Tarin"",""Smith"",""D"",""WHL"",None,73,189,18.48,67,8,44,0.66,2024]"
Aleksi Heimosalmi,D,72,181,05/08/2003,Liiga,47,2,14,16,2023,,Aleksi,Heimosalmi,,,"[""Aleksi"",""Heimosalmi"",""D"",""Liiga"",None,72,181,21.35,47,2,16,0.34,2024]"
Nikita Novikov,D,75,196,07/25/2003,AHL,65,3,20,23,2023,,Nikita,Novikov,,,"[""Nikita"",""Novikov"",""D"",""AHL"",None,75,196,21.14,65,3,23,0.35,2024]"
Patrick Geary,D,73,185,02/18/2004,NCAA,32,5,8,13,2023,,Patrick,Geary,,,"[""Patrick"",""Geary"",""D"",""NCAA"",None,73,185,20.58,32,5,13,0.41,2024]"
Adam Sykora,F,71,193,09/07/2004,AHL,66,8,15,23,2023,,Adam,Sykora,,,"[""Adam"",""Sykora"",""F"",""AHL"",None,71,193,20.02,66,8,23,0.35,2024]"
Nathan Gaucher,F,75,222,11/06/2003,AHL,72,10,15,25,2023,,Nathan,Gaucher,,,"[""Nathan"",""Gaucher"",""F"",""AHL"",None,75,222,20.86,72,10,25,0.35,2024]"
Quinton Burns,D,73,180,04/14/2005,OHL,58,6,29,35,2023,,Quinton,Burns,,,"[""Quinton"",""Burns"",""D"",""OHL"",None,73,180,19.42,58,6,35,0.6,2024]"
Ethan Miedema,F,76,203,03/22/2005,OHL,68,18,23,41,2023,,Ethan,Miedema,,,"[""Ethan"",""Miedema"",""F"",""OHL"",None,76,203,19.48,68,18,41,0.6,2024]"
Cole Brown,F,74,178,04/27/2005,OHL,65,16,23,39,2023,,Cole,Brown,,,"[""Cole"",""Brown"",""F"",""OHL"",None,74,178,19.38,65,16,39,0.6,2024]"
Kaleb Lawrence,F,79,230,01/10/2003,OHL,30,10,8,18,2023,,Kaleb,Lawrence,,,"[""Kaleb"",""Lawrence"",""F"",""OHL"",None,79,230,21.68,30,10,18,0.6,2024]"
Joey Muldowney,F,71,155,06/05/2004,NCAA,35,5,9,14,2023,,Joey,Muldowney,,,"[""Joey"",""Muldowney"",""F"",""NCAA"",None,71,155,20.28,35,5,14,0.4,2024]"
William Trudeau,D,73,205,10/11/2002,AHL,70,8,16,24,2023,,William,Trudeau,,,"[""William"",""Trudeau"",""D"",""AHL"",None,73,205,21.93,70,8,24,0.34,2024]"
Brodie Ziemer,F,71,190,02/22/2006,NTDP,61,27,43,70,2023,,Brodie,Ziemer,,,"[""Brodie"",""Ziemer"",""F"",""NTDP"",None,71,190,18.56,61,27,70,1.15,2024]"
Max Graham,F,75,203,05/21/2004,WHL,67,20,22,42,2023,,Max,Graham,,,"[""Max"",""Graham"",""F"",""WHL"",None,75,203,20.32,67,20,42,0.63,2024]"
Alex Gagne,D,76,205,08/12/2002,NCAA,36,1,13,14,2023,,Alex,Gagne,,,"[""Alex"",""Gagne"",""D"",""NCAA"",None,76,205,22.09,36,1,14,0.39,2024]"
Reid Schaefer,F,77,226,09/21/2003,AHL,63,7,14,21,2023,,Reid,Schaefer,,,"[""Reid"",""Schaefer"",""F"",""AHL"",None,77,226,20.98,63,7,21,0.33,2024]"
Josh Lopina,F,74,208,02/16/2001,AHL,69,14,9,23,2023,,Josh,Lopina,,,"[""Josh"",""Lopina"",""F"",""AHL"",None,74,208,23.58,69,14,23,0.33,2024]"
Ethan Procyszyn,F,74,189,07/11/2006,OHL,62,15,21,36,2023,,Ethan,Procyszyn,,,"[""Ethan"",""Procyszyn"",""F"",""OHL"",None,74,189,18.18,62,15,36,0.58,2024]"
David Klee,F,75,188,05/10/2005,USHL,62,15,25,40,2023,,David,Klee,,,"[""David"",""Klee"",""F"",""USHL"",None,75,188,19.35,62,15,40,0.65,2024]"
Vinzenz Rohrer,F,71,173,09/09/2004,NL,49,7,12,19,2023,,Vinzenz,Rohrer,,,"[""Vinzenz"",""Rohrer"",""F"",""NL"",None,71,173,20.02,49,7,19,0.39,2024]"
Christian Humphreys,F,71,170,02/04/2006,NTDP,52,23,35,58,2023,,Christian,Humphreys,,,"[""Christian"",""Humphreys"",""F"",""NTDP"",None,71,170,18.61,52,23,58,1.12,2024]"
William Von Barnekow Lofberg,F,74,158,11/12/2002,SHL,48,5,7,12,2023,,William,Von,Barnekow,Lofberg,"[""William"",""Von"",""F"",""SHL"",None,74,158,21.84,48,5,12,0.25,2024]"
Carter Sotheran,D,75,197,06/26/2005,WHL,66,13,27,40,2023,,Carter,Sotheran,,,"[""Carter"",""Sotheran"",""D"",""WHL"",None,75,197,19.22,66,13,40,0.61,2024]"
Anthony (AJ) Spellacy,F,74,195,02/24/2006,OHL,67,21,17,38,2023,,Anthony,(AJ),Spellacy,,"[""Anthony"",""(AJ)"",""F"",""OHL"",None,74,195,18.56,67,21,38,0.57,2024]"
Daylan Kuefler,F,74,195,02/10/2002,AHL,22,3,4,7,2023,,Daylan,Kuefler,,,"[""Daylan"",""Kuefler"",""F"",""AHL"",None,74,195,22.6,22,3,7,0.32,2024]"
Jack Peart,D,71,186,05/15/2003,NCAA,38,3,11,14,2023,,Jack,Peart,,,"[""Jack"",""Peart"",""D"",""NCAA"",None,71,186,21.33,38,3,14,0.37,2024]"
